"playlistName","numFollowers","numSongs","avgPopularity","avgSongLen","maxSongLen","minSongLen"
37i9dQZF1DXaKIA8E7WcJj,1271964,96,46.427083333333336,199775.04166666666,444053.0,112800.0
37i9dQZF1DWY0ocjGF6nfE,11872,57,37.87719298245614,272840.7192982456,352227.0,121387.0
37i9dQZF1DWUQM3rmTXpBR,8170,50,28.92,248428.86,489547.0,107467.0
37i9dQZF1DWUNIrSzKgQbP,1624142,55,47.981818181818184,241740.32727272727,384080.0,139060.0
37i9dQZF1DX4Xv3b1fFYlX,375497,50,66.82,250760.06,517810.0,174828.0
37i9dQZF1DX3HYlktiFpE6,81466,58,34.60344827586207,185703.1551724138,336693.0,63080.0
37i9dQZF1DX4sWSpwq3LiO,4920363,166,57.22289156626506,176767.3313253012,403568.0,54333.0
37i9dQZF1DXcxacyAXkQDu,198070,50,53.84,223525.68,328507.0,142507.0
37i9dQZF1DWUoGbRYcteyC,1416911,52,62.0,220983.34615384616,324773.0,144205.0
37i9dQZF1DX1spT6G94GFC,579056,100,57.7,260122.46,506400.0,155973.0
37i9dQZF1DWSjibQnF0bUk,10773,55,38.836363636363636,310339.05454545456,1171533.0,187116.0
37i9dQZF1DX5C8bjZ5YDv7,424577,68,60.088235294117645,206510.25,363114.0,153653.0
37i9dQZF1DX4npDJDFDYLg,401269,28,65.39285714285714,196755.67857142858,264014.0,156000.0
37i9dQZF1DX1adpUbAHocs,582326,188,39.909574468085104,230118.5159574468,379160.0,125038.0
37i9dQZF1DX8evYJzHX5bn,401945,52,54.44230769230769,273218.53846153844,407533.0,192013.0
37i9dQZF1DWWwzidNQX6jx,438402,120,62.78333333333333,297579.5,1233667.0,122067.0
37i9dQZF1DWTzoMWoVzs9W,651366,45,55.84444444444444,177064.6,229320.0,138493.0
37i9dQZF1DWXkVfVmXHa7l,21477,30,28.333333333333332,292471.0333333333,440680.0,178213.0
37i9dQZF1DWVyizF9BJ61m,10014,50,28.62,286462.18,492293.0,173000.0
